Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
252,Juan Foyth,ar ARG,DF,Villarreal,26,1998,19,"1,517",80,44.4,16.9,17,88,15,2,13,2,2.11,34,14,20,1.19,1.19,31,16.4,14.6,0.87,0.59,Matches
253,Aitor Fraga,es ESP,GK,Real Sociedad,21,2003,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
254,Fran,es ESP,GK,Real Madrid,19,2005,1,90,90,2.6,1,1,90,1,0,,24,0,1,2,-1,-1,-2.11,3.4,0.8,2.7,2.66,1.86,Matches
255,Alejandro Francés,es ESP,DF,Girona,21,2002,18,"1,173",65,34.3,13,13,80,7,5,26,18,0.89,13,26,-13,-1,-0.88,14,19.3,-5.4,-0.41,-0.31,Matches
256,Enric Franquesa,es ESP,"DF,FW",Leganés,27,1997,12,616,51,18,6.8,7,76,4,5,17,1,1.08,9,10,-1,-0.15,0.37,5.2,10.1,-4.9,-0.71,-0.12,Matches
257,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,27,1997,36,"2,495",69,73,27.7,30,76,6,6,37,0,1.42,35,30,5,0.18,1.06,33.4,35.1,-1.6,-0.06,0.13,Matches
258,Darío Fuentes,es ESP,DF,Sevilla,21,2003,1,5,5,0.1,0.1,0,,0,1,5,0,3,0,0,0,0,0.34,0,0.5,-0.5,-8.87,-8.76,Matches
259,Jon Fuentes,es ESP,MF,Osasuna,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
260,Manuel Fuster,es ESP,"FW,MF",Las Palmas,26,1997,28,"1,003",36,29.3,11.1,8,69,2,20,23,10,0.61,12,21,-9,-0.81,-0.36,11.8,19.6,-7.8,-0.7,0.14,Matches
261,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,25,"1,784",71,52.2,19.8,21,78,11,4,38,11,2,38,14,24,1.21,0.44,37.9,16.2,21.7,1.09,0.57,Matches
262,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,26,"1,477",57,43.2,16.4,18,70,0,8,28,1,2.19,28,11,17,1.04,0.67,23.4,15.5,7.9,0.48,0.14,Matches
263,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,32,"1,633",51,47.7,18.1,19,68,4,13,26,5,2,34,19,15,0.83,-0.33,28.5,18.4,10.1,0.56,-0.51,Matches
264,Facundo Garcés,ar ARG,DF,Alavés,24,1999,10,678,68,19.8,7.5,7,90,7,3,16,10,1.7,5,5,0,0,0.33,7.6,10.2,-2.6,-0.35,-0.29,Matches
265,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,31,1992,36,"2,559",71,74.8,28.4,28,83,14,8,30,0,1.33,28,34,-6,-0.21,-0.42,34.5,35.4,-0.9,-0.03,0.25,Matches
266,Enric García,es ESP,MF,Girona,18,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
267,Eric García,es ESP,"DF,MF",Barcelona,23,2001,29,"1,566",54,45.8,17.4,14,85,9,15,25,3,2.52,53,16,37,2.13,0.86,45.9,18.2,27.8,1.6,0.54,Matches
268,Fran Garcia,es ESP,DF,Real Madrid,24,1999,31,"2,171",70,63.5,24.1,24,87,19,7,13,7,2.1,54,23,31,1.29,0.64,54.2,27.3,26.9,1.11,0.71,Matches
269,Germán García,es ESP,GK,Betis,20,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
270,Gonzalo García,es ESP,"FW,DF",Real Madrid,20,2004,3,56,19,1.6,0.6,0,,0,3,19,3,3,4,0,4,6.43,5.47,2.3,0.1,2.1,3.4,2.58,Matches
271,Jastin García,es ESP,FW,Girona,20,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
272,Joan García,es ESP,GK,Espanyol,23,2001,38,"3,420",90,100,38,38,90,38,0,,0,1.11,40,51,-11,-0.29,,34.4,53.8,-19.4,-0.51,,Matches
273,Lucas García,es ESP,GK,Girona,20,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
274,Naim García,es ESP,MF,Leganés,22,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
275,Pablo Garcia,es ESP,FW,Betis,17,2006,3,38,13,1.1,0.4,0,,0,3,13,4,1.67,1,0,1,2.37,2.21,0.2,0.4,-0.2,-0.4,-0.51,Matches
276,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,36,"2,413",67,70.6,26.8,30,75,4,6,27,0,1.28,34,32,2,0.07,0.61,31.2,33.8,-2.6,-0.1,0.53,Matches
277,Unai García,es ESP,DF,Osasuna,32,1992,3,65,22,1.9,0.7,1,60,0,2,3,34,1.33,0,4,-4,-5.54,-5.54,0.2,1.9,-1.7,-2.38,-2.16,Matches
278,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,15,947,63,27.7,10.5,9,88,5,6,26,23,0.93,11,22,-11,-1.05,-1.08,12.8,19.2,-6.4,-0.61,-0.53,Matches
279,Oier Gastesi,es ESP,GK,Athletic Club,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
280,Gavi,es ESP,"MF,FW",Barcelona,19,2004,26,"1,085",42,31.7,12.1,14,69,4,12,10,3,2.12,26,12,14,1.16,-0.73,29.1,10.9,18.1,1.5,0.29,Matches
281,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,36,"3,195",89,93.4,35.5,36,89,35,0,,2,1.14,41,51,-10,-0.28,2.12,39.3,43.7,-4.4,-0.12,1.29,Matches
282,Álex Gil,es ESP,MF,Leganés,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
283,Bryan Gil,es ESP,"FW,MF",Girona,23,2001,25,"1,721",69,50.3,19.1,21,78,4,4,22,0,1.32,29,31,-2,-0.1,0.64,23.5,24.1,-0.6,-0.03,0.35,Matches
284,Iván Gil,es ESP,MF,Las Palmas,24,2000,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
285,Aitor Gismera,es ESP,MF,Atlético Madrid,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
286,Dani Gómez,es ESP,FW,Valencia,26,1998,14,532,38,15.6,5.9,5,81,1,9,14,7,0.71,5,9,-4,-0.68,-0.49,6.9,10.3,-3.5,-0.59,-0.43,Matches
287,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,26,796,31,23.3,8.8,6,76,3,20,17,10,1.27,2,19,-17,-1.92,-2.37,6.1,15.8,-9.7,-1.1,-1.1,Matches
288,Rubén Gómez,es ESP,GK,Villarreal,22,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
289,Sergi Gómez,es ESP,DF,Espanyol,32,1992,12,664,55,19.4,7.4,6,86,5,6,25,25,1.08,7,13,-6,-0.81,-0.65,5.8,11.7,-5.8,-0.79,-0.35,Matches
290,Sergio Gómez,es ESP,"MF,DF",Real Sociedad,23,2000,37,"2,738",74,80.1,30.4,31,82,18,6,34,1,1.24,26,33,-7,-0.23,0.3,30.7,35.9,-5.2,-0.17,-0.66,Matches
291,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,32,"1,284",40,37.5,14.3,14,61,0,18,24,4,1.75,13,12,1,0.07,-0.94,17.6,17.6,0,0,-0.64,Matches
292,Antonio Gomis,es ESP,GK,Atlético Madrid,21,2003,0,,,,,0,,0,0,,31,,,,,,,,,,,,Matches
293,Fabio González,es ESP,MF,Las Palmas,27,1997,2,53,27,1.5,0.6,0,,0,2,27,14,1.5,2,1,1,1.7,2.29,0.6,1.6,-1,-1.77,-0.99,Matches
294,Jorge Gonzalez,es ESP,DF,Valladolid,19,2005,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
295,Manu González,es ESP,GK,Betis,17,2007,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
296,Peter González,do DOM,"MF,FW",Getafe,22,2002,17,477,28,13.9,5.3,2,57,0,15,24,21,0.47,5,6,-1,-0.19,-0.07,7.8,8.2,-0.3,-0.06,0.21,Matches
297,Urko González,es ESP,MF,Espanyol,23,2001,17,"1,374",81,40.2,15.3,16,84,7,1,24,0,1.35,17,14,3,0.2,0.81,14.4,16.8,-2.4,-0.16,0.59,Matches
298,Urko González,es ESP,MF,Real Sociedad,23,2001,1,45,45,1.3,0.5,1,45,0,0,,9,0,0,0,0,0,0.29,0.6,0.5,0,0.03,0.07,Matches
299,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,20,"1,485",74,43.4,16.5,17,84,9,3,20,17,1.7,16,12,4,0.24,-0.73,17.3,18.2,-0.9,-0.05,-0.8,Matches
300,Mikel Goti,es ESP,MF,Real Sociedad,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
301,José Gragera,es ESP,MF,Espanyol,23,2000,10,569,57,16.6,6.3,7,71,2,3,25,3,1,4,12,-8,-1.27,-1.17,5.5,11.5,-5.9,-0.94,-0.51,Matches
302,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,"2,790",90,81.6,31,31,90,31,0,,7,1.32,30,34,-4,-0.13,0.59,32.3,32.2,0,0,1.15,Matches
303,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,38,"2,469",65,72.2,27.4,29,75,9,9,31,0,2,40,21,19,0.69,-1.11,41.2,22.7,18.5,0.67,-0.53,Matches
304,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,13,623,48,18.2,6.9,7,63,1,6,30,1,0.08,5,15,-10,-1.44,0.29,6.6,11.7,-5.1,-0.73,0.17,Matches
305,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,"3,060",90,89.5,34,34,90,34,0,,3,1.44,49,48,1,0.03,-0.22,47.8,36.3,11.4,0.34,0.47,Matches
306,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,16,362,23,10.6,4,1,54,0,15,21,18,1.25,6,4,2,0.5,0.67,7.8,4.4,3.4,0.84,1.04,Matches
307,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,31,"2,493",80,72.9,27.7,27,87,21,4,33,4,1.16,35,42,-7,-0.25,0.33,33.3,34.1,-0.8,-0.03,0.35,Matches
308,Javier Guerra,es ESP,MF,Valencia,21,2003,36,"2,581",72,75.5,28.7,31,80,14,5,17,1,1.25,37,41,-4,-0.14,0.5,33.7,37.8,-4.1,-0.14,0.35,Matches
309,Ander Guevara,es ESP,MF,Alavés,27,1997,33,"1,947",59,56.9,21.6,20,80,10,13,27,5,1.12,24,24,0,0,0.61,24,25.7,-1.7,-0.08,0.07,Matches
310,Pape Gueye,sn SEN,MF,Villarreal,25,1999,34,"2,224",65,65,24.7,26,79,12,8,22,0,1.76,41,29,12,0.49,-0.12,39.5,25.8,13.8,0.56,0.06,Matches
311,Hugo Guillamón,es ESP,MF,Valencia,24,2000,12,364,30,10.6,4,4,70,1,8,11,26,1.25,2,7,-5,-1.24,-1.09,2,9.2,-7.3,-1.79,-1.75,Matches
312,Carlos Guirao,es ESP,MF,Leganés,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
313,Carlos Guirao,es ESP,MF,Betis,21,2003,2,110,55,3.2,1.2,2,55,0,0,,1,0,1,6,-5,-4.09,-4.42,0.9,2.3,-1.3,-1.08,-1.23,Matches
314,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,28,"1,250",45,36.5,13.9,14,73,2,14,16,10,2.36,28,17,11,0.79,-0.41,28.1,16,12.1,0.87,0.03,Matches
315,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,22,849,39,24.8,9.4,7,65,0,15,26,15,1.18,8,13,-5,-0.53,-0.57,13.2,12.4,0.8,0.08,0.23,Matches
316,Jon Guridi,es ESP,"MF,FW",Alavés,29,1995,33,"2,080",63,60.8,23.1,27,72,5,6,23,3,1.15,24,27,-3,-0.13,0.34,24.7,24,0.7,0.03,0.36,Matches
317,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,36,"1,840",51,53.8,20.4,21,69,4,15,26,1,1.92,28,13,15,0.73,0.16,25.7,18.9,6.8,0.33,-0.15,Matches
318,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,29,"2,458",85,71.9,27.3,29,85,22,0,,1,1.21,35,41,-6,-0.22,0.72,31.4,31.6,-0.2,-0.01,0.72,Matches
319,Munir El Haddadi,ma MAR,"FW,MF",Leganés,28,1995,25,862,34,25.2,9.6,10,62,1,15,16,7,1,17,9,8,0.84,1.71,11.6,13.6,-2,-0.21,0.54,Matches
320,Sébastien Haller,ci CIV,FW,Leganés,30,1994,8,404,51,11.8,4.5,5,71,1,3,16,4,0.75,2,9,-7,-1.56,-1.26,2.1,7.7,-5.6,-1.24,-0.71,Matches
321,Henrique,br BRA,DF,Valladolid,30,1994,5,352,70,10.3,3.9,4,77,2,1,45,2,0,3,11,-8,-2.05,-0.4,3.3,8.9,-5.6,-1.43,-0.62,Matches
322,Javi Hernández,es ESP,DF,Leganés,26,1998,31,"2,389",77,69.9,26.5,27,86,21,4,17,5,1.03,25,38,-13,-0.49,-0.14,25,40.5,-15.5,-0.58,0.1,Matches
323,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,14,"1,025",73,30,11.4,11,84,9,3,33,23,1.21,13,17,-4,-0.35,-0.35,15.5,14.1,1.5,0.13,0.32,Matches
324,Jorge Herrando,es ESP,DF,Osasuna,23,2001,18,"1,366",76,39.9,15.2,15,90,15,3,5,20,1.22,14,23,-9,-0.59,-0.81,15.8,24.6,-8.8,-0.58,-0.55,Matches
325,Ander Herrera,es ESP,MF,Athletic Club,34,1989,8,273,34,8,3,2,71,0,6,22,6,1.13,3,2,1,0.33,-0.36,5.8,1.9,3.9,1.28,0.95,Matches
326,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,"3,330",90,97.4,37,37,90,37,0,,0,1.38,48,52,-4,-0.11,-0.11,43.7,53,-9.3,-0.25,0.07,Matches
327,Yangel Herrera,ve VEN,MF,Girona,26,1998,29,"2,257",78,66,25.1,27,82,16,2,19,1,1.17,26,35,-9,-0.36,0.18,25.2,32.8,-7.6,-0.3,-0.28,Matches
328,Juan Herzog,es ESP,DF,Las Palmas,21,2003,19,"1,315",69,38.5,14.6,15,82,11,4,22,19,0.42,9,23,-14,-0.96,-0.66,13.8,26.4,-12.6,-0.86,-0.1,Matches
329,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,36,"3,153",88,92.2,35,36,88,30,0,,0,1.14,38,45,-7,-0.2,1.15,31.4,50.6,-19.2,-0.55,-0.48,Matches
330,Roger Hinojo,es ESP,DF,Espanyol,19,2005,1,9,9,0.3,0.1,0,,0,1,9,11,0,0,0,0,0,0.29,0.2,0.4,-0.1,-1.46,-0.95,Matches
331,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,"1,085",83,31.7,12.1,11,90,11,2,48,23,0.54,9,19,-10,-0.83,-0.41,11.3,18.9,-7.6,-0.63,0.25,Matches
332,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,28,"1,294",46,37.8,14.4,13,71,4,15,25,10,1.54,15,24,-9,-0.63,-0.84,15.9,21.3,-5.5,-0.38,-0.2,Matches
333,Stanis Idumbo,be BEL,"FW,MF",Sevilla,19,2005,14,284,20,8.3,3.2,3,50,0,11,12,22,1,7,7,0,0,0.37,3.7,5.6,-1.9,-0.6,-0.52,Matches
334,Iglesias,es ESP,DF,Getafe,26,1998,37,"2,888",78,84.4,32.1,32,85,25,5,33,1,1.05,28,35,-7,-0.22,-0.56,29.2,40,-10.8,-0.34,-0.57,Matches
335,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,37,"1,952",53,57.1,21.7,24,70,1,13,21,1,1.49,30,31,-1,-0.05,-0.23,28.2,23.1,5.2,0.24,-0.11,Matches
336,Kelechi Iheanacho,ng NGA,FW,Sevilla,27,1996,9,400,44,11.7,4.4,5,59,0,4,26,10,0.89,2,6,-4,-0.9,-0.63,4.2,4.5,-0.3,-0.07,0.06,Matches
337,Isco,es ESP,MF,Betis,32,1992,22,"1,547",70,45.2,17.2,17,82,9,5,31,0,1.77,35,24,11,0.64,0.83,24.9,21.7,3.2,0.19,0.15,Matches
338,Alejandro Iturbe,es ESP,GK,Atlético Madrid,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
339,Diego Iturralde,es ESP,FW,Sevilla,21,2003,1,37,37,1.1,0.4,1,37,0,0,,2,0,0,1,-1,-2.43,-2.11,0.2,0,0.1,0.31,0.43,Matches
340,Ander Izagirre,es ESP,DF,Athletic Club,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
341,Ivan Jaime Pajuelo,es ESP,MF,Valencia,23,2000,9,297,33,8.7,3.3,2,60,0,7,25,1,1.33,4,7,-3,-0.91,-0.71,4.3,4.7,-0.4,-0.14,0.1,Matches
342,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,"2,790",90,81.6,31,31,90,31,0,,2,0.52,18,68,-50,-1.61,0.39,26.7,54.4,-27.7,-0.89,-0.14,Matches
343,Omar Janneh,es ESP,FW,Atlético Madrid,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
344,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,18,598,33,17.5,6.6,5,74,1,13,18,6,0.56,9,8,1,0.15,0.85,7.6,12.2,-4.6,-0.7,0.13,Matches
345,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,34,"2,244",66,65.6,24.9,25,80,16,9,27,2,1.91,34,21,13,0.52,-0.4,33.5,27,6.5,0.26,-0.41,Matches
346,Alejandro Jay Agustín,es ESP,MF,Alavés,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
347,David Jiménez,es ESP,DF,Real Madrid,20,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
348,Raúl Jiménez,es ESP,GK,Valencia,18,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
349,Pere Joan,es ESP,GK,Mallorca,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
350,John Joe,ie IRL,"MF,FW",Getafe,20,2003,4,48,12,1.4,0.5,0,,0,4,12,5,1,0,0,0,0,0.13,0.4,2.1,-1.6,-3.07,-2.86,Matches
351,Jofre,es ESP,"MF,FW",Espanyol,23,2001,37,"2,165",59,63.3,24.1,26,73,3,11,23,0,1.11,23,38,-15,-0.62,-0.91,18.6,38.3,-19.7,-0.82,-0.84,Matches
352,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,26,"1,143",44,33.4,12.7,9,72,3,17,29,3,2.35,42,18,24,1.89,0.35,34.3,17.2,17.1,1.35,0.07,Matches
353,Joan Jordán,es ESP,MF,Alavés,30,1994,25,"1,414",57,41.3,15.7,15,76,5,10,28,4,1.08,19,20,-1,-0.06,0.34,20.1,18.6,1.6,0.1,0.36,Matches
354,Juanmi,es ESP,"FW,MF",Getafe,31,1993,13,696,54,20.4,7.7,8,74,1,5,21,1,1.23,12,8,4,0.52,0.81,8.9,9.4,-0.5,-0.07,0.22,Matches
355,Juanmi,es ESP,"FW,MF",Betis,31,1993,11,244,22,7.1,2.7,2,60,0,9,14,9,0.91,3,3,0,0,-0.2,3.6,2.8,0.8,0.29,0.2,Matches
356,Juanpe,es ESP,DF,Girona,33,1991,12,727,61,21.3,8.1,8,86,7,4,10,26,1.42,11,18,-7,-0.87,-0.57,8.5,13.7,-5.2,-0.64,-0.55,Matches
357,Juanpe,es ESP,GK,Rayo Vallecano,23,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
358,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,"1,458",86,42.6,16.2,16,90,16,1,18,20,1.82,30,18,12,0.74,0.37,28.4,19.7,8.7,0.54,0,Matches
359,Vinicius Júnior,br BRA,FW,Real Madrid,24,2000,30,"2,253",75,65.9,25,24,86,12,6,31,0,2.1,44,24,20,0.8,-0.74,43.8,27,16.8,0.67,-0.54,Matches
360,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,26,"1,729",67,50.6,19.2,19,79,7,7,32,8,0.58,15,46,-31,-1.61,0.14,17.1,36.8,-19.7,-1.03,-0.32,Matches
361,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,19,"1,117",59,32.7,12.4,12,80,8,7,22,11,2.05,20,15,5,0.4,-0.18,17.4,15.7,1.7,0.14,-0.6,Matches
362,Abdoulaye Keita,es ESP,"FW,MF",Getafe,21,2002,3,95,32,2.8,1.1,1,54,0,2,21,9,1,0,0,0,0,0.14,0.6,2.5,-1.9,-1.81,-1.61,Matches
363,Kenedy,br BRA,"MF,FW",Valladolid,28,1996,2,9,5,0.3,0.1,0,,0,2,5,7,0,0,1,-1,-10,-8.34,0,0.3,-0.3,-2.97,-2.11,Matches
364,Kiké,es ESP,FW,Alavés,34,1989,35,"2,542",73,74.3,28.2,29,82,12,6,26,2,1.17,30,25,5,0.18,1.71,32.6,28.7,3.9,0.14,0.97,Matches
365,Álvaro Killane,es ESP,GK,Las Palmas,19,2004,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
366,Diego Kochen,us USA,GK,Barcelona,18,2006,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
367,Rudy Kohon,fr FRA,DF,Betis,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
368,Koke,es ESP,MF,Atlético Madrid,32,1992,32,"1,926",60,56.3,21.4,20,76,9,12,33,1,2.06,32,14,18,0.84,-0.36,32.8,19.4,13.4,0.63,-0.45,Matches
369,Ilias Kostis,gr GRE,DF,Atlético Madrid,21,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
370,Jules Koundé,fr FRA,DF,Barcelona,25,1998,32,"2,605",81,76.2,28.9,29,88,25,3,21,1,2.28,77,30,47,1.62,-0.14,68.6,31.3,37.3,1.29,-0.07,Matches
371,Alex Král,cz CZE,MF,Espanyol,26,1998,37,"2,714",73,79.4,30.2,29,86,25,8,26,0,1.14,31,45,-14,-0.46,-0.85,26,47.7,-21.7,-0.72,-1.02,Matches
372,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,28,"2,440",87,71.3,27.1,27,90,27,1,10,6,0.89,28,45,-17,-0.63,-0.72,27.6,39.2,-11.5,-0.43,-0.76,Matches
373,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,36,"2,372",66,69.4,26.4,27,79,10,9,28,1,1.28,25,28,-3,-0.11,0.57,30.1,27.2,2.9,0.11,0.49,Matches
374,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,35,"2,972",85,86.9,33,34,87,29,1,27,0,1.11,35,45,-10,-0.3,-0.1,29.9,48,-18,-0.55,-0.27,Matches
375,César de la Hoz,es ESP,MF,Valladolid,32,1992,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
376,Luca de la Torre,us USA,MF,Celta Vigo,26,1998,1,4,4,0.1,0,0,,0,1,4,3,3,0,0,0,0,-0.05,0.4,0,0.3,5.47,5.19,Matches
377,Yoel Lago,es ESP,DF,Celta Vigo,20,2004,8,583,73,17,6.5,7,81,5,1,14,8,1.25,12,14,-2,-0.31,-0.44,9.7,12.5,-2.8,-0.43,-0.87,Matches
