Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,51,2.03,34,6,2,5,2,2,6,0.24,6,0,0,0,0,0,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,35,1.2,34,0,0,1,0,0,6,0.21,5,0,0,1,0,0,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,46,3.64,32,0,5,5,3,1,8,0.63,5,0,1,0,2,0,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,2,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,40,2.7,26,6,5,2,1,0,0,0,0,0,0,0,0,0,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,96,3.15,46,44,2,4,0,0,7,0.23,5,2,0,0,0,0,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,90,3.84,77,6,1,3,2,1,13,0.56,12,0,0,0,1,0,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,4,0.55,2,0,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,56,3.64,43,0,6,5,1,1,12,0.78,7,0,1,3,0,1,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,50,3.72,33,7,5,5,0,0,5,0.37,1,0,2,2,0,0,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,12,0.9,7,0,0,2,3,0,1,0.08,0,0,0,0,1,0,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,37,6.11,25,0,8,2,1,1,5,0.83,2,0,3,0,0,0,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,21,0.74,18,1,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,6,0.19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,7,2.09,5,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,6,0.46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,9,0.44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,7,3.54,5,0,1,1,0,0,1,0.51,0,0,0,1,0,0,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,30,1.94,22,0,2,4,2,0,4,0.26,3,0,0,1,0,0,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,29,1.2,19,0,1,4,5,0,5,0.21,1,0,0,1,3,0,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,45,4.19,28,5,9,0,3,0,2,0.19,2,0,0,0,0,0,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,11,0.68,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,46,2.58,28,10,1,1,6,0,2,0.11,2,0,0,0,0,0,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,8,1.96,6,0,1,0,1,0,2,0.49,0,0,1,0,1,0,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,13,1.4,8,4,1,0,0,0,1,0.11,1,0,0,0,0,0,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,36,1.67,25,0,3,3,3,2,1,0.05,1,0,0,0,0,0,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,1,2.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,44,3.79,22,15,2,2,3,0,2,0.17,0,2,0,0,0,0,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22,66,2.99,43,0,10,8,4,1,7,0.32,4,0,0,2,1,0,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,2.6,11,4.25,9,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,12,6,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,43,1.74,35,3,2,0,0,3,5,0.2,5,0,0,0,0,0,Matches
192,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,3,0.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,16.6,28,1.68,18,0,3,2,4,1,3,0.18,0,0,0,0,2,1,Matches
196,Valery Fernández,es ESP,"MF,FW",Mallorca,24,1999,3.4,5,1.45,4,0,0,0,0,1,3,0.87,2,0,0,0,0,1,Matches
197,André Ferreira,pt POR,GK,Valladolid,28,1996,6,1,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Mateo Flores,es ESP,MF,Betis,20,2004,1.7,2,1.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Pablo Fornals,es ESP,"MF,FW",Betis,28,1996,20.3,88,4.33,78,5,2,3,0,0,9,0.44,9,0,0,0,0,0,Matches
200,Héctor Fort,es ESP,DF,Barcelona,17,2006,6.5,16,2.46,15,1,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
201,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,25.5,36,1.41,26,4,1,3,0,2,4,0.16,3,0,0,1,0,0,Matches
202,Juan Foyth,ar ARG,DF,Villarreal,26,1998,16.9,20,1.19,19,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
203,Fran,es ESP,GK,Real Madrid,19,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Alejandro Francés,es ESP,DF,Girona,21,2002,13,16,1.23,15,0,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
205,Enric Franquesa,es ESP,"DF,FW",Leganés,27,1997,6.8,6,0.88,4,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
206,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,27,1997,27.7,62,2.24,48,0,6,2,4,2,10,0.36,5,0,3,0,1,1,Matches
207,Darío Fuentes,es ESP,DF,Sevilla,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Manuel Fuster,es ESP,"FW,MF",Las Palmas,26,1997,11.1,56,5.02,44,8,1,1,1,1,6,0.54,5,0,0,0,0,1,Matches
209,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,19.8,33,1.66,30,1,1,0,1,0,6,0.3,6,0,0,0,0,0,Matches
210,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,16.4,50,3.04,43,4,2,1,0,0,6,0.37,4,2,0,0,0,0,Matches
211,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,18.1,32,1.76,24,0,4,0,3,1,8,0.44,5,0,1,0,1,1,Matches
212,Facundo Garcés,ar ARG,DF,Alavés,24,1999,7.5,3,0.4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
213,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,31,1992,28.4,104,3.66,82,0,2,13,5,2,7,0.25,6,0,0,1,0,0,Matches
214,Eric García,es ESP,"DF,MF",Barcelona,23,2001,17.4,32,1.84,29,0,0,3,0,0,7,0.4,6,0,0,1,0,0,Matches
215,Fran Garcia,es ESP,DF,Real Madrid,24,1999,24.1,56,2.32,50,0,1,3,0,2,3,0.12,3,0,0,0,0,0,Matches
216,Gonzalo García,es ESP,"FW,DF",Real Madrid,20,2004,0.6,2,3.21,2,0,0,0,0,0,1,1.61,1,0,0,0,0,0,Matches
217,Joan García,es ESP,GK,Espanyol,23,2001,38,9,0.24,5,4,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
218,Pablo Garcia,es ESP,FW,Betis,17,2006,0.4,2,4.62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,26.8,104,3.88,62,32,2,4,4,0,12,0.45,8,1,0,1,2,0,Matches
220,Unai García,es ESP,DF,Osasuna,32,1992,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,10.5,7,0.67,5,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
222,Gavi,es ESP,"MF,FW",Barcelona,19,2004,12.1,39,3.24,37,0,1,1,0,0,4,0.33,4,0,0,0,0,0,Matches
223,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
224,Bryan Gil,es ESP,"FW,MF",Girona,23,2001,19.1,56,2.93,39,3,8,1,4,1,5,0.26,5,0,0,0,0,0,Matches
225,Dani Gómez,es ESP,FW,Valencia,26,1998,5.9,6,1.02,4,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
226,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,8.8,19,2.15,16,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Sergi Gómez,es ESP,DF,Espanyol,32,1992,7.4,4,0.54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
228,Sergio Gómez,es ESP,"MF,DF",Real Sociedad,23,2000,30.4,102,3.35,51,44,1,3,2,1,10,0.33,7,3,0,0,0,0,Matches
229,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,14.3,23,1.61,15,4,1,2,1,0,3,0.21,2,0,0,1,0,0,Matches
230,Fabio González,es ESP,MF,Las Palmas,27,1997,0.6,2,3.4,2,0,0,0,0,0,1,1.7,1,0,0,0,0,0,Matches
231,Peter González,do DOM,"MF,FW",Getafe,22,2002,5.3,13,2.44,7,1,0,3,1,1,1,0.19,1,0,0,0,0,0,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,15.3,23,1.51,19,0,2,1,1,0,5,0.33,5,0,0,0,0,0,Matches
233,Urko González,es ESP,MF,Real Sociedad,23,2001,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,16.5,32,1.94,29,2,1,0,0,0,2,0.12,2,0,0,0,0,0,Matches
235,José Gragera,es ESP,MF,Espanyol,23,2000,6.3,7,1.11,4,0,0,0,1,2,0,0,0,0,0,0,0,0,Matches
236,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,5,0.16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
237,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,27.4,93,3.39,69,15,0,6,2,1,13,0.47,12,0,0,1,0,0,Matches
238,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,6.9,22,3.17,19,0,1,0,2,0,1,0.14,1,0,0,0,0,0,Matches
239,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,3,0.09,1,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
240,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,4,9,2.24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,27.7,34,1.23,19,11,1,0,1,2,2,0.07,0,2,0,0,0,0,Matches
242,Javier Guerra,es ESP,MF,Valencia,21,2003,28.7,74,2.58,56,5,5,4,3,1,6,0.21,4,0,0,2,0,0,Matches
243,Ander Guevara,es ESP,MF,Alavés,27,1997,21.6,41,1.89,39,1,1,0,0,0,5,0.23,5,0,0,0,0,0,Matches
244,Pape Gueye,sn SEN,MF,Villarreal,25,1999,24.7,49,1.98,41,2,0,3,1,2,9,0.36,7,1,0,1,0,0,Matches
245,Hugo Guillamón,es ESP,MF,Valencia,24,2000,4,7,1.73,6,0,1,0,0,0,1,0.25,1,0,0,0,0,0,Matches
246,Carlos Guirao,es ESP,MF,Betis,21,2003,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,13.9,79,5.69,52,13,8,4,1,1,11,0.79,4,3,1,2,1,0,Matches
248,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,9.4,29,3.07,19,9,1,0,0,0,1,0.11,1,0,0,0,0,0,Matches
249,Jon Guridi,es ESP,"MF,FW",Alavés,29,1995,23.1,48,2.08,35,3,3,4,1,2,8,0.35,5,0,2,1,0,0,Matches
250,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,20.4,29,1.42,23,1,0,4,0,1,1,0.05,1,0,0,0,0,0,Matches
251,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,27.3,74,2.71,55,13,1,3,1,1,8,0.29,6,1,0,1,0,0,Matches
252,Munir El Haddadi,ma MAR,"FW,MF",Leganés,28,1995,9.6,21,2.2,13,0,1,2,5,0,2,0.21,1,0,0,1,0,0,Matches
253,Sébastien Haller,ci CIV,FW,Leganés,30,1994,4.5,4,0.89,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Henrique,br BRA,DF,Valladolid,30,1994,3.9,6,1.53,5,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
255,Javi Hernández,es ESP,DF,Leganés,26,1998,26.5,41,1.54,31,6,0,1,2,1,3,0.11,1,0,0,1,1,0,Matches
256,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,11.4,9,0.79,7,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Jorge Herrando,es ESP,DF,Osasuna,23,2001,15.2,13,0.86,10,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
258,Ander Herrera,es ESP,MF,Athletic Club,34,1989,3,11,3.64,10,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
259,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,6,0.16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Yangel Herrera,ve VEN,MF,Girona,26,1998,25.1,50,1.99,38,2,1,3,4,2,6,0.24,6,0,0,0,0,0,Matches
261,Juan Herzog,es ESP,DF,Las Palmas,21,2003,14.6,3,0.21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
262,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,35,28,0.8,24,1,1,1,1,0,3,0.09,3,0,0,0,0,0,Matches
263,Roger Hinojo,es ESP,DF,Espanyol,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,2,0.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,14.4,20,1.39,14,0,1,1,3,1,4,0.28,3,0,0,0,1,0,Matches
266,Stanis Idumbo,be BEL,"FW,MF",Sevilla,19,2005,3.2,7,2.21,7,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
267,Iglesias,es ESP,DF,Getafe,26,1998,32.1,59,1.84,30,16,4,3,5,1,5,0.16,2,1,0,1,0,1,Matches
268,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,21.7,36,1.66,25,1,0,5,5,0,7,0.32,3,0,0,1,3,0,Matches
269,Kelechi Iheanacho,ng NGA,FW,Sevilla,27,1996,4.4,12,2.7,8,0,1,3,0,0,0,0,0,0,0,0,0,0,Matches
270,Isco,es ESP,MF,Betis,32,1992,17.2,111,6.46,75,24,3,4,3,2,14,0.81,10,4,0,0,0,0,Matches
271,Diego Iturralde,es ESP,FW,Sevilla,21,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
272,Ivan Jaime Pajuelo,es ESP,MF,Valencia,23,2000,3.3,12,3.65,9,1,1,0,1,0,0,0,0,0,0,0,0,0,Matches
273,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,4,0.13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,6.6,37,5.57,20,9,0,3,5,0,5,0.75,2,0,0,2,1,0,Matches
275,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,24.9,73,2.93,55,6,1,4,3,4,9,0.36,7,0,0,0,2,0,Matches
276,John Joe,ie IRL,"MF,FW",Getafe,20,2003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Jofre,es ESP,"MF,FW",Espanyol,23,2001,24.1,56,2.33,38,0,6,5,7,0,5,0.21,4,0,0,0,1,0,Matches
278,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,12.7,43,3.39,39,0,2,1,0,1,11,0.87,9,0,2,0,0,0,Matches
279,Joan Jordán,es ESP,MF,Alavés,30,1994,15.7,55,3.5,32,20,0,1,2,0,3,0.19,2,1,0,0,0,0,Matches
280,Juanmi,es ESP,"FW,MF",Getafe,31,1993,7.7,9,1.16,7,0,1,0,0,1,1,0.13,1,0,0,0,0,0,Matches
281,Juanmi,es ESP,"FW,MF",Betis,31,1993,2.7,5,1.84,3,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches
282,Juanpe,es ESP,DF,Girona,33,1991,8.1,3,0.37,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
283,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Vinicius Júnior,br BRA,FW,Real Madrid,24,2000,25,135,5.39,80,1,29,11,11,3,18,0.72,11,0,5,0,2,0,Matches
285,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,19.2,9,0.47,7,0,0,1,0,1,2,0.1,2,0,0,0,0,0,Matches
286,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,12.4,5,0.4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
287,Abdoulaye Keita,es ESP,"FW,MF",Getafe,21,2002,1.1,1,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Kenedy,br BRA,"MF,FW",Valladolid,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
289,Kiké,es ESP,FW,Alavés,34,1989,28.2,38,1.35,30,0,0,2,6,0,4,0.14,3,0,0,0,1,0,Matches
290,Koke,es ESP,MF,Atlético Madrid,32,1992,21.4,51,2.38,48,2,0,0,0,1,5,0.23,5,0,0,0,0,0,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,25,1998,28.9,59,2.04,55,0,2,2,0,0,7,0.24,6,0,0,1,0,0,Matches
292,Alex Král,cz CZE,MF,Espanyol,26,1998,30.2,42,1.39,31,1,2,2,4,2,1,0.03,1,0,0,0,0,0,Matches
293,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,27.1,29,1.07,25,1,0,2,1,0,4,0.15,2,0,0,1,1,0,Matches
294,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,26.4,114,4.33,72,11,16,2,9,4,8,0.3,2,0,5,0,1,0,Matches
295,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,33,16,0.48,11,0,1,3,1,0,2,0.06,1,0,1,0,0,0,Matches
296,Luca de la Torre,us USA,MF,Celta Vigo,26,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Yoel Lago,es ESP,DF,Celta Vigo,20,2004,6.5,2,0.31,2,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
298,Cyle Larin,ca CAN,FW,Mallorca,29,1995,19.6,21,1.07,13,0,0,4,4,0,3,0.15,1,0,0,1,1,0,Matches
299,Juanmi Latasa,es ESP,FW,Valladolid,23,2001,15.5,30,1.93,21,0,1,5,2,1,0,0,0,0,0,0,0,0,Matches
300,Toni Lato,es ESP,DF,Mallorca,26,1997,6.9,14,2.03,11,1,0,0,1,1,1,0.15,1,0,0,0,0,0,Matches
