Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,33.3,46.7,71.4,498.3,106.7,20.6,25,82.2,11.7,16.1,72.4,0.56,1.67,33.3,0,0.22,0.11,-0.22,2.22,0.56,1.67,0,6.11,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,28.1,40,70.2,357.6,48.1,16.2,20,81,10,14.3,70,0,1.9,0,0,0,0.05,0,0.48,1.43,0.48,0,2.38,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,34,45.2,75.2,698.1,316.5,11.3,13.1,86.4,17.6,20.3,87,4.67,10.5,44.6,0.06,0.03,0.02,0.03,0.28,2.82,0.47,0.09,2.16,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,41.1,48.2,85.3,811.1,319,13.4,14.6,92.2,21.6,23.4,92.4,5.44,8.48,64.2,0,0,0.01,0,0.38,2.15,0.13,0.13,2.15,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,57.4,65,88.3,931.2,246.9,28.2,30.1,93.7,24.3,26.1,92.8,3.52,5.41,65.2,0.16,0.07,0.06,0.1,0.9,5,0.41,0,5,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,16.4,20.9,78.7,227.7,35.9,10.1,12,84.1,4.84,5.79,83.6,0.56,0.71,77.8,0.16,0.16,0.09,0,1.51,0.95,0.56,0,2.14,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,53.3,63.2,84.3,941.2,328.7,23.9,26.2,91.3,21.4,24.5,87.3,6.14,9.39,65.3,0.23,0.07,0.08,0.16,1.06,5.45,0.91,0.3,6.59,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,30.7,38.6,79.5,513.1,83.8,15.2,16.9,89.8,12.1,14.8,81.4,2.41,5.52,43.8,0,0.07,0.07,-0.07,2.07,2.07,0.69,0,2.07,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,33.9,43.9,77.2,582.8,190,16.6,18,92.3,13.4,17.4,76.7,2.97,6.63,44.8,0,0.08,0.07,-0.08,0.59,1.68,0.59,0.59,2.18,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,22.4,38.5,58.2,366.3,102,12.4,15.4,81,8.05,12.9,62.3,1.46,5.61,26.1,0.24,0.05,0.05,0.2,0.98,2.2,0.73,0.73,2.2,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,15.7,29.8,52.5,502.3,396.2,1.83,1.83,100,8.5,8.67,98.1,5.33,19.2,27.8,0,0,0,0,0,0.33,0,0,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,14.9,24,62.1,213.1,64.5,8.36,10.9,76.7,4.63,7.31,63.3,0.9,3.13,28.6,0.15,0.09,0.18,0.06,1.34,1.34,1.64,0.6,2.24,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,25.3,32,79.2,361.3,52.7,14,16,87.5,8,10,80,1.33,2,66.7,0,0,0.07,0,0,2.67,0,0,2,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,34.4,44.6,77.3,570.6,201.8,16.8,19.3,86.9,14.9,18.1,82,2.26,4.86,46.5,0.21,0.18,0.14,0.04,1.38,1.9,1.41,0.8,2.35,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,39.9,46.6,85.7,611.6,155,21.5,23.7,90.4,14.7,16.4,89.3,2.23,3.28,67.9,0.04,0.04,0.03,0,0.38,2.65,0.17,0,2.98,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,80,90,88.9,920,220,60,60,100,20,20,100,0,0,,0,0,0,0,0,10,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,44.3,55,80.5,719.4,268.8,21.8,24.7,88.2,19.2,22.8,84.4,2.2,4.71,46.8,0,0.06,0.03,-0.06,0.58,3.03,0.43,0.18,3.33,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,37,48.6,76.1,627.4,196,17.3,20.1,86.2,16.8,21.1,79.9,2.61,5,52.2,0.22,0.17,0.13,0.05,0.87,1.9,1.3,0.43,2.88,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,58.7,68.1,86.2,959.3,208.7,29,31.2,92.9,25,28.7,87.2,3.82,5.15,74.3,0,0.03,0.04,-0.03,0.74,2.94,0.74,0,3.97,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,63.5,73.1,86.8,952,294.6,35.6,38.5,92.3,20.9,22.8,91.9,4.07,6.11,66.7,0,0.04,0.13,-0.04,1.11,8.15,0.74,0,8.33,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,68.2,76.4,89.3,1046.1,239.1,36.5,39.4,92.6,26.4,27.9,94.4,3.46,5.25,66,0.17,0.08,0.1,0.09,0.5,7.71,0.34,0,5.98,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,37.3,44.5,83.8,811.3,322.3,8.36,9.15,91.4,23.4,24.9,93.8,5.32,9.56,55.7,0.09,0.07,0.06,0.02,0.29,1.99,0.15,0.03,2.6,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,11,14,78.6,219,77,3,3,100,6,7,85.7,2,4,50,0,0,0,0,0,0,0,0,1,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,95.1,100.8,94.3,1541.1,442.4,47.3,48.5,97.6,39.2,40.7,96.2,6.07,7.63,79.6,0,0.12,0.15,-0.12,1.63,11.6,0.74,0,11.1,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,30.3,44,68.9,555.7,195.7,12.3,15.7,78.7,14.7,17.3,84.6,2.67,7.33,36.4,0,0.1,0.1,-0.1,1.67,4,0.67,0,4.67,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,25,41.4,60.3,521.4,235,10.7,13.6,78.9,9.29,14.3,65,5,11.4,43.8,0,0,0.07,0,0.71,3.57,0.71,0,2.14,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,43.3,54.4,79.7,691.7,239.5,23,25.7,89.2,16.6,20.3,82,2.96,5.64,52.5,0.03,0.07,0.07,-0.03,0.84,2.61,0.94,0.35,3.97,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,10.3,14.5,70.9,141,34.9,5.63,7.32,76.9,3.52,4.37,80.6,0.28,0.7,40,0.14,0.17,0.07,-0.03,0.85,0.42,0.14,0,1.69,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,10,10,100,160,0,0,0,,10,10,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,33.2,42.1,79,554.1,185.3,14.4,16.5,87.5,15,17.4,86.4,2.35,5,47.1,0.29,0.06,0.09,0.24,0.59,2.94,0.59,0,4.71,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,13.8,21.3,64.7,186.9,54.4,8.13,9.38,86.7,3.13,5.63,55.6,1.25,4.38,28.6,0,0,0.06,0,1.25,0,0,0,0.63,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,72.1,78.6,91.8,1152.1,445.4,34.6,36.1,96,33.2,35,94.9,3.21,4.64,69.2,0,0,0.04,0,0.36,8.21,0,0,5.36,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,26.4,38.7,68.2,695.1,518,5.68,5.75,98.7,13.1,13.4,98,7.49,19.3,38.7,0,0,0,0,0,0.58,0,0,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,42,49.5,84.7,742.3,243.1,18.2,20.3,90,19.1,21.3,89.7,3.87,5.67,68.1,0.04,0.05,0.03,0,0.67,4.29,0.34,0,5.38,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,35.9,42.4,84.6,595.5,121.3,17.2,19.1,89.8,14.5,16.4,88.5,3.06,4.58,66.9,0.04,0.04,0.03,0,0.63,3.17,0.55,0.04,4.06,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,41.7,52.8,78.9,723.3,150.6,17.2,20.6,83.8,20,23.3,85.7,2.78,4.44,62.5,0,0,0,0,0.56,1.67,0,0,1.67,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,40.7,46.4,87.7,824.4,270.7,11.8,13.2,88.9,24.1,25.3,95.4,4.34,6.92,62.8,0,0,0.01,0,0,2.37,0.05,0,2.42,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,41,48.4,84.6,691.2,223.6,19,21.3,89.4,17.8,19.8,89.9,3.13,4.82,65,0.07,0.07,0.09,0,0.95,5.04,1.06,0.11,5.42,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,23.8,29.4,81.1,572.4,371.4,5.64,5.69,99.2,13,13.3,97.9,5,10.2,49.1,0.05,0.01,0,0.04,0.09,0.32,0.05,0,0,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,22.3,35,63.8,351.6,110.3,11.9,16.5,72.3,8.72,12.8,68.3,1.06,3.09,34.5,0,0.03,0.09,-0.03,0.74,1.49,1.17,0.85,2.45,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,37.6,45.1,83.3,716.1,277.9,13.9,15.4,90.8,19,21.1,90.2,4.29,7.41,57.9,0,0,0.01,0,0,2.06,0.24,0,2.76,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,45,55,81.8,845,455,15,25,60,25,25,100,5,5,100,0,0.5,0,-0.5,5,5,5,5,5,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,23.1,31.5,73.6,303,83.7,14.6,17.6,82.8,5.62,7.64,73.5,1.01,2.13,47.4,0.11,0.24,0.25,-0.12,1.57,2.13,1.12,0.11,2.81,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,38.8,51.9,74.8,676.5,256.4,18.8,21.5,87.4,16.1,20.2,79.7,3.65,7.88,46.3,0,0.04,0.09,-0.04,0.59,2.71,1.41,0.35,5.18,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,17.4,27.1,64.4,263.6,63.1,9.29,12.9,72.2,5.18,7.68,67.4,1.61,3.13,51.4,0.09,0.13,0.13,-0.04,0.8,1.25,0.89,0.63,1.43,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,47.2,53.8,87.7,914.4,341.3,17.5,18.4,94.7,23.4,25.1,93.3,5.71,9.34,61.2,0.03,0.02,0.02,0.01,0.14,3.73,0.21,0,4.04,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,39.6,49,80.7,703.3,196.4,17.8,20.5,86.6,17.3,20.1,86.1,3.95,5.82,67.8,0.07,0.04,0.06,0.03,0.51,3.98,0.48,0.17,3.95,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,28.3,34,83.1,666.7,427.8,5.43,5.47,99.4,17.5,17.7,99.2,5.27,10.8,48.8,0,0,0,0,0.03,0.13,0,0,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,31.6,40.5,78,513.2,238.9,15.7,17.5,89.3,13.5,17.2,78.6,1.81,4.16,43.5,0,0,0.01,0,0.12,3.25,0.12,0,3.19,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,19.4,28.5,68.2,306.4,116.9,10.6,12.9,82.4,6.77,9.6,70.5,1.51,4.02,37.6,0.16,0.16,0.15,0,0.96,1.35,1.27,0.56,2.63,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,83.6,89.5,93.5,1568.9,550,28.4,29.8,95.3,47.7,49.4,96.5,6.7,8.63,77.7,0.1,0.05,0.03,0.05,0.31,7.22,0.14,0.03,6.56,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,17.6,24.4,71.9,260,68.3,9.21,11.9,77.5,4.17,5.91,70.7,1.81,2.52,71.9,0.08,0.12,0.06,-0.04,1.1,1.57,0.79,0.08,2.68,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,10.5,13.6,76.7,163.2,18.2,5,6.82,73.3,4.55,5.45,83.3,0.45,0.91,50,0,0,0,0,0.45,0.45,0,0,0.45,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,21.5,29.6,72.6,368.1,99.5,10.8,12.5,86.5,8.04,10.5,76.3,2.09,4.12,50.8,0,0.11,0.16,-0.11,1.49,1.15,1.62,0.54,2.77,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,32.2,42.7,75.3,607,185.7,14.4,16.3,88.5,12,15.1,79.2,4.92,8.98,54.7,0.2,0.12,0.17,0.08,1.77,4,1.08,0.49,4.66,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,61.9,75.8,81.7,1042.3,321.2,31.4,34.5,91,22,26.4,83.3,6.92,11.2,62.1,0.21,0.24,0.25,-0.03,1.79,7.69,2.48,0.56,9.87,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,38.6,46,83.9,673.8,254.4,16.2,17.3,93.7,19.6,21.5,91.1,2.6,6.03,43.2,0,0,0.01,0,0.14,0.96,0.27,0,1.92,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,15.8,21.3,74.2,201.9,44.8,11.6,13.9,83.7,1.94,2.58,75,0.65,0.65,100,0.65,0.48,0.19,0.16,2.58,0.65,0.32,0.32,0.32,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,32.4,40.3,80.2,585.1,258.1,13.4,14.8,90.2,16.1,18.7,86.1,2.46,5.17,47.7,0,0,0.02,0,0.14,2.13,0.39,0.14,3.38,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,37.2,42.9,86.8,475.5,124,25.5,28.1,91,9.16,10.6,86.5,0.91,1.36,66.7,0.13,0.21,0.15,-0.08,1.49,3.64,1.23,0,4.81,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,10,30,33.3,200,0,0,0,,10,30,33.3,0,0,,0,0,0,0,0,0,0,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,33,41.9,78.8,489.8,145.5,19.7,22.1,89,9.56,11.1,86,2.37,5.93,40,0,0.16,0.16,-0.16,1.93,3.33,1.26,0.15,4.59,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,9.1,14.4,63,126.2,24.2,4.66,6.69,69.7,3.16,5.11,61.8,0.45,0.9,50,0,0.02,0.02,-0.02,0.45,0.6,0.23,0.08,1.2,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,17,33.3,51.1,526.3,379,1.5,1.5,100,8.75,9.25,94.6,6.75,22.5,30,0,0,0,0,0,0.75,0,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,27.2,32.8,83,365.4,89,16.6,18.4,90.2,9.18,11.3,81.2,0.33,0.98,33.3,0.16,0.15,0.15,0.02,2.3,0.66,1.15,0.16,2.62,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,11.6,17.5,66.4,178.5,45.9,6.85,8.49,80.6,3.56,6.16,57.8,1.1,1.78,61.5,0,0.12,0.08,-0.12,0.55,0.82,0.82,0.55,1.78,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,24.5,32.4,75.6,447.6,177.2,10.4,12.7,81.8,11.1,13.7,81,2.76,5.05,54.5,0,0.02,0.03,-0.02,0.32,2.76,0.46,0.21,2.61,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,14.7,32.9,44.7,551,466.9,1.75,1.75,100,5.28,5.34,98.8,7.66,25.6,30,0,0.01,0,-0.01,0.03,0.88,0,0,0.03,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,10,14.4,69.4,136.8,38.8,6.47,8.24,78.6,1.76,2.94,60,0.88,1.47,60,0,0.06,0.09,-0.06,1.47,0,1.18,0.59,1.18,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,65.3,73.8,88.5,1217.9,422.2,19.6,20.7,94.8,41.4,44.4,93.1,3.51,7.1,49.5,0,0.01,0.02,-0.01,0.15,4.89,0,0,5.04,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,10,10,100,120,0,5,5,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,90,94.7,95,1668.9,558.9,30,30,100,55.8,58.9,94.6,3.68,5.26,70,0,0,0,0,0,6.84,0,0,6.84,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,9.74,13.7,71,137.7,18.8,5,6.79,73.6,3.85,4.74,81.1,0.26,0.26,100,0.13,0.03,0.03,0.1,0.38,0.26,0.13,0,0.77,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,24,30.6,78.5,536.3,180.2,5.46,6.81,80.1,14.3,15.9,89.7,4.11,7.44,55.2,0,0,0,0,0.1,2.03,0,0,2.27,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,16.5,26.5,62.3,231.5,67.5,10.5,12.5,84,5.5,8.5,64.7,0,1,0,0,0.35,0.2,-0.35,2.5,0,1,0.5,1.5,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,18.3,25.8,71,269.7,47.4,10.1,12.5,80.9,6.32,8,79,1.03,2.39,43.2,0.26,0.18,0.06,0.08,1.1,1.35,0.65,0.19,1.94,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,12.3,17.8,69.2,170.1,20.4,7.14,9.25,77.1,3.98,5.48,72.7,0.46,0.87,52.4,0.08,0.05,0.02,0.03,0.58,0.75,0.12,0,1.16,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,33.9,41.6,81.6,556,104.9,18.6,20.6,90.5,10.9,13.1,83.6,3.46,4.95,69.8,0.09,0.18,0.11,-0.08,1.96,1.68,1.87,0.47,3.55,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,47.8,56,85.4,904,301.2,17.7,18.7,94.4,25.1,27.7,90.4,4.63,7.84,59.1,0,0.01,0.02,-0.01,0.25,3.58,0.12,0,3.15,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,21.4,33.5,63.9,341,83,12.2,15.2,80.1,5.81,8.72,66.7,2.4,6.59,36.4,0.06,0.15,0.14,-0.09,1.12,1.28,0.95,0.56,2.51,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,14.8,18.8,78.7,234.8,30,7.75,9.25,83.8,4.5,5.75,78.3,1.5,1.75,85.7,0,0.13,0.05,-0.13,1,0.25,0.5,0,2,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,39.2,52.8,74.3,609,268.5,21.4,23.7,90.5,15.1,20.1,74.9,2.15,6.56,32.8,0.11,0.06,0.06,0.04,0.54,3.76,0.65,0.54,4.19,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,37.8,44.2,85.4,650.9,183.1,17.1,19.3,88.7,16.5,18.4,89.4,3.4,4.84,70.2,0,0.02,0.03,-0.02,0.6,3.4,0.37,0,3.53,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,2.5,12.5,20,25,7.5,2.5,5,50,0,2.5,0,0,0,,0,0,0.25,0,0,0,0,0,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,0,2.5,0,0,0,0,2.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,27.4,41.8,65.6,516.4,197.2,10.9,12.8,85.8,10.9,15.3,71.2,4.31,10.3,42,0.17,0.28,0.21,-0.1,2.41,3.1,1.21,0.34,5.52,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22,24.6,34.4,71.6,304.3,87.6,17,20.6,82.2,5.95,8.68,68.6,0.5,1.68,29.7,0.09,0.09,0.1,0,1.23,1.91,0.86,0.09,3.09,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,2.6,40,48.1,83.2,423.1,54.6,29.2,31.9,91.6,6.92,8.85,78.3,0.38,1.15,33.3,0,0.08,0.15,-0.08,1.54,1.15,1.92,0,2.31,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,33.5,41,81.7,526,190.5,19,21.5,88.4,10,11.5,87,3,5,60,0.5,0.25,0.4,0.25,3,2.5,3,1,5,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,54.2,61,88.9,893.8,292.7,27.5,29,94.7,22.8,25.3,90.1,3.32,5.1,65.1,0.04,0.05,0.09,-0.01,0.65,4.37,0.97,0.57,4.53,Matches
192,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,29,45,64.4,1243,1147,0,0,,10,10,100,19,35,54.3,0,0,0,0,0,1,0,0,0,Matches
193,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,25.5,39,65.4,666,465.7,6.02,6.02,100,12.9,13,99.1,6.63,19.9,33.3,0,0.01,0,-0.01,0.12,0.72,0,0,0,Matches
194,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,1.1,21.8,25.5,85.7,432.7,163.6,10.9,11.8,92.3,7.27,9.09,80,3.64,3.64,100,0,0,0,0,0,0.91,0,0,0.91,Matches
195,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,16.6,11.3,15.6,72.2,134.2,18.7,7.29,8.8,82.9,2.47,3.92,63.1,0.24,0.24,100,0,0.04,0.03,-0.04,0.48,0.54,0.42,0,1.02,Matches
196,Valery Fernández,es ESP,"MF,FW",Mallorca,24,1999,3.4,25.9,29.1,88.9,335.6,62.1,16.5,18.8,87.5,6.76,7.35,92,0.88,0.88,100,0,0,0.03,0,0.29,1.18,0.59,0.29,1.47,Matches
197,André Ferreira,pt POR,GK,Valladolid,28,1996,6,23,32.5,70.8,664,497.5,3.17,3.17,100,12.8,12.8,100,7,16.3,42.9,0,0,0,0,0,0.17,0,0,0,Matches
198,Mateo Flores,es ESP,MF,Betis,20,2004,1.7,32.9,40.6,81.2,561.8,165.9,14.7,17.6,83.3,16.5,18.8,87.5,1.76,2.94,60,0,0,0.06,0,0,1.76,0.59,0.59,5.29,Matches
199,Pablo Fornals,es ESP,"MF,FW",Betis,28,1996,20.3,43.7,54.6,80,710.7,245.6,22.3,25.2,88.3,16.4,20.5,79.9,3.55,5.52,64.3,0,0.16,0.14,-0.16,1.77,4.58,1.63,0.39,7.19,Matches
200,Héctor Fort,es ESP,DF,Barcelona,17,2006,6.5,68.9,76.5,90.1,957.2,225.2,39.7,41.8,94.9,22.2,24.8,89.4,2.31,2.77,83.3,0,0.14,0.2,-0.14,1.54,4.15,0.46,0,4,Matches
201,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,25.5,39.5,50,78.9,619.2,231.9,21.7,23.2,93.6,15.5,19.6,79.4,1.8,4.55,39.7,0.04,0.05,0.08,-0.02,0.39,3.02,0.59,0.24,3.8,Matches
