Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,10,0,163,1.8,0.56,0,0.56,0.56,0,0,0,0,0.28,0.28,0.22,0.5,5.56,6.11,18.3,0.55,0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,6,2,188,2.1,0,0,0,0,0,0,0.48,0,0,0,0,0.05,7.14,2.38,7.14,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,33,32,"2,869",31.9,0.13,0.06,0.19,0.13,0,0,0.13,0.03,0.03,0.03,0.03,0.07,0.28,2.16,0.19,0.13,0.06,0.19,0.13,0.19,0.03,0.03,0.06,0.03,0.06,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,21,6,715,7.9,0.13,0,0.13,0.13,0,0,0.13,0,0.04,0.04,0,0.04,0,2.15,0.25,0.13,0,0.13,0.13,0.13,0.03,0.01,0.04,0.03,0.04,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,19,11,"1,102",12.2,0.08,0.16,0.25,0.08,0,0,0.16,0,0.03,0.03,0.07,0.1,2.13,5,2.54,0.08,0.16,0.25,0.08,0.25,0.04,0.06,0.1,0.04,0.1,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,23,14,"1,134",12.6,0.24,0.16,0.4,0.24,0,0,0.16,0,0.33,0.33,0.16,0.48,1.59,2.14,5.4,0.24,0.16,0.4,0.24,0.4,0.32,0.16,0.48,0.32,0.48,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,25,15,"1,189",13.2,0,0.23,0.23,0,0,0,0.38,0,0.01,0.01,0.07,0.08,0.83,6.59,1.14,0,0.23,0.23,0,0.23,0.01,0.07,0.08,0.01,0.08,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,8,2,259,2.9,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.14,2.07,2.07,3.79,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,12,12,906,10.1,0,0,0,0,0,0,0.1,0,0,0,0.08,0.09,1.58,2.18,2.87,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,17,2,370,4.1,0,0.24,0.24,0,0,0,0.73,0,0.12,0.12,0.05,0.17,1.71,2.2,11.5,0,0.24,0.24,0,0.24,0.13,0.05,0.17,0.13,0.17,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,16,5,606,6.7,0.15,0.15,0.3,0.15,0,0,0.15,0,0.16,0.16,0.09,0.25,2.09,2.24,6.42,0.15,0.15,0.3,0.15,0.3,0.16,0.09,0.25,0.16,0.25,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,11,0,132,1.5,0,0,0,0,0,0,1.33,0,0.27,0.27,0,0.27,1.33,2,8,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,35,34,"2,945",32.7,0.03,0.21,0.24,0.03,0,0,0.34,0,0.07,0.07,0.18,0.25,1.59,2.35,6.06,0.03,0.21,0.24,0.03,0.24,0.07,0.18,0.25,0.07,0.25,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,28,24,"2,144",23.8,0.13,0.04,0.17,0.13,0,0,0.17,0,0.08,0.08,0.04,0.13,0.8,2.98,1.18,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.12,0.09,0.12,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,35,35,"2,942",32.7,0,0,0,0,0,0,0.34,0,0.02,0.02,0.06,0.08,1.38,3.33,1.74,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,23,19,"1,656",18.4,0,0.22,0.22,0,0,0,0.05,0,0.03,0.03,0.17,0.2,2.12,2.88,7.61,0,0.22,0.22,0,0.22,0.03,0.17,0.2,0.03,0.2,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,8,7,609,6.8,0.15,0,0.15,0.15,0,0,0.15,0,0.19,0.19,0.03,0.22,1.91,3.97,7.06,0.15,0,0.15,0.15,0.15,0.19,0.03,0.22,0.19,0.22,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,14,6,484,5.4,0,0,0,0,0,0,0.19,0,0.04,0.04,0.04,0.07,0.93,8.33,1.85,0,0,0,0,0,0.04,0.05,0.08,0.04,0.08,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,23,20,"1,611",17.9,0.06,0.17,0.22,0.06,0,0,0.22,0.06,0.06,0.06,0.08,0.13,0.67,5.98,1.34,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,35,35,"3,074",34.2,0.03,0.09,0.12,0.03,0,0,0.32,0,0.06,0.06,0.07,0.13,0.26,2.6,0.12,0.03,0.09,0.12,0.03,0.12,0.07,0.07,0.13,0.07,0.13,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,23,15,"1,215",13.5,0,0,0,0,0,0,0.3,0,0.03,0.03,0.12,0.15,3.11,11.1,1.26,0,0,0,0,0,0.03,0.12,0.15,0.03,0.15,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,7,4,273,3,0,0,0,0,0,0,0.33,0,0,0,0.1,0.1,1,4.67,7,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,2,1,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.71,2.14,1.43,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,34,28,"2,585",28.7,0,0.03,0.03,0,0,0,0.1,0,0.04,0.04,0.07,0.11,2.06,3.97,4.63,0,0.03,0.03,0,0.03,0.04,0.07,0.11,0.04,0.11,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,22,5,640,7.1,0.14,0.14,0.28,0.14,0,0,0.42,0,0.14,0.14,0.17,0.31,1.13,1.69,4.79,0.14,0.14,0.28,0.14,0.28,0.14,0.17,0.31,0.14,0.31,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,14,2,302,3.4,0,0.29,0.29,0,0,0,0,0,0.15,0.15,0.06,0.18,2.35,4.71,2.06,0,0.3,0.3,0,0.3,0.14,0.05,0.19,0.14,0.19,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,8,1,146,1.6,0,0,0,0,0,0,1.25,0,0.19,0.19,0,0.19,2.5,0.63,7.5,0,0,0,0,0,0.19,0.02,0.21,0.19,0.21,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,5,2,254,2.8,0,0,0,0,0,0,1.07,0,0,0,0,0.04,0.36,5.36,0.36,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,"2,335",25.9,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,33,25,"2,140",23.8,0.17,0.04,0.21,0.17,0,0,0.5,0,0.08,0.07,0.05,0.12,0.8,5.38,0.5,0.17,0.04,0.21,0.17,0.21,0.08,0.05,0.12,0.07,0.12,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,34,31,"2,435",27.1,0.11,0.04,0.15,0.11,0,0,0.11,0.04,0.11,0.11,0.04,0.15,0.96,4.06,1.55,0.11,0.04,0.15,0.11,0.15,0.11,0.04,0.15,0.11,0.15,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0.06,2.22,1.67,1.67,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,25,21,"1,779",19.8,0,0,0,0,0,0,0.3,0,0.05,0.05,0,0.05,0.45,2.42,0.25,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,35,30,"2,560",28.4,0.14,0.07,0.21,0.14,0,0,0.25,0,0.16,0.16,0.07,0.23,1.37,5.42,2.04,0.14,0.07,0.21,0.14,0.21,0.16,0.07,0.23,0.16,0.23,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,"1,962",21.8,0,0.05,0.05,0,0,0,0.09,0,0,0,0.01,0.01,0,0,0,0,0.05,0.05,0,0.05,0,0.01,0.01,0,0.01,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,22,9,847,9.4,0.11,0,0.11,0.11,0,0,0.85,0,0.26,0.26,0.03,0.29,1.49,2.45,6.49,0.11,0,0.11,0.11,0.11,0.26,0.03,0.29,0.26,0.29,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,25,16,"1,528",17,0,0,0,0,0,0,0.35,0,0.03,0.03,0,0.03,0.59,2.76,0.12,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,5,5,0,0,0,0,0,0,0.45,0.45,0,0.45,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,31,3,805,8.9,0.45,0.11,0.56,0.45,0,0,0.34,0.11,0.51,0.51,0.24,0.74,3.37,2.81,9.55,0.45,0.11,0.56,0.45,0.56,0.51,0.23,0.74,0.51,0.74,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,11,9,768,8.5,0,0,0,0,0,0,0.12,0,0.04,0.04,0.04,0.07,1.88,5.18,5.65,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,19,12,"1,006",11.2,0.09,0.09,0.18,0.09,0,0,0.36,0,0.1,0.1,0.13,0.23,4.11,1.43,7.41,0.09,0.09,0.18,0.09,0.18,0.1,0.13,0.23,0.1,0.23,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,32,28,"2,587",28.7,0.07,0.03,0.1,0.07,0,0,0.1,0,0.02,0.02,0.02,0.05,0.87,4.04,0.35,0.07,0.03,0.1,0.07,0.1,0.02,0.02,0.05,0.02,0.05,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,32,31,"2,649",29.4,0,0.07,0.07,0,0,0,0.34,0.03,0.06,0.06,0.04,0.1,0.82,3.95,2.35,0,0.07,0.07,0,0.07,0.06,0.04,0.1,0.06,0.1,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,30,"2,700",30,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,25,19,"1,492",16.6,0,0,0,0,0,0,0.24,0,0.01,0.01,0,0.01,0.54,3.19,0.72,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,34,26,"2,257",25.1,0.2,0.16,0.36,0.2,0,0,0.08,0,0.11,0.11,0.16,0.27,2.35,2.63,5.22,0.2,0.16,0.36,0.2,0.36,0.11,0.17,0.27,0.11,0.27,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,35,29,"2,618",29.1,0,0.1,0.1,0,0,0,0.1,0,0.03,0.03,0.05,0.09,0.89,6.56,0.21,0,0.1,0.1,0,0.1,0.03,0.06,0.08,0.03,0.08,Matches
153,Cucho,co COL,FW,Betis,25,1999,15,14,"1,139",12.7,0.39,0.08,0.47,0.39,0,0,0,0,0.3,0.3,0.12,0.42,2.13,2.68,6.46,0.4,0.08,0.47,0.4,0.47,0.3,0.12,0.42,0.3,0.42,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,3,3,200,2.2,0.91,0,0.91,0.91,0,0,0.45,0,0.36,0.36,0,0.36,1.82,0.45,7.73,0.9,0,0.9,0.9,0.9,0.37,0.01,0.38,0.37,0.38,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,25,15,"1,335",14.8,0.14,0,0.14,0.14,0,0,0.14,0,0.24,0.24,0.11,0.36,6.15,2.77,12.5,0.13,0,0.13,0.13,0.13,0.24,0.11,0.35,0.24,0.35,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,38,34,"2,744",30.5,0.07,0.2,0.26,0.07,0,0,0.13,0,0.07,0.07,0.12,0.19,1.21,4.66,2.72,0.07,0.2,0.26,0.07,0.26,0.07,0.12,0.19,0.07,0.19,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,34,23,"2,106",23.4,0.13,0.21,0.34,0.13,0,0,0.3,0,0.06,0.06,0.24,0.29,3.63,9.87,2.74,0.13,0.21,0.34,0.13,0.34,0.06,0.24,0.29,0.06,0.29,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,13,7,653,7.3,0.27,0,0.27,0.27,0,0,0,0,0.21,0.21,0,0.21,0.68,1.92,0.27,0.28,0,0.28,0.28,0.28,0.2,0,0.21,0.2,0.21,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,10,2,277,3.1,0.32,0.65,0.97,0.32,0,0,0,0,0.26,0.26,0.48,0.74,2.9,0.32,8.71,0.32,0.65,0.97,0.32,0.97,0.26,0.5,0.75,0.26,0.75,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,26,20,"1,866",20.7,0,0,0,0,0,0,0.29,0,0,0,0,0.01,0.58,3.38,1.5,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,31,16,"1,385",15.4,0.26,0.13,0.39,0.26,0,0,0,0,0.34,0.34,0.21,0.56,2.53,4.81,7.14,0.26,0.13,0.39,0.26,0.39,0.34,0.22,0.56,0.34,0.56,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,26,12,"1,211",13.5,0.22,0,0.22,0.22,0,0.07,0.15,0,0.18,0.12,0.16,0.27,2,4.59,3.63,0.22,0,0.22,0.22,0.22,0.18,0.16,0.33,0.12,0.27,Matches
164,Diego,es ESP,FW,Leganés,24,2000,28,13,"1,195",13.3,0.23,0,0.23,0.23,0,0,0.15,0,0.29,0.29,0.02,0.3,0.68,1.2,3.68,0.23,0,0.23,0.23,0.23,0.28,0.02,0.3,0.28,0.3,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,4,360,4,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,10,6,545,6.1,0.33,0.16,0.49,0.33,0,0,0.16,0,0.23,0.23,0.15,0.38,6.07,2.62,10.5,0.33,0.17,0.5,0.33,0.5,0.24,0.14,0.38,0.24,0.38,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,17,7,659,7.3,0.14,0,0.14,0.14,0,0,0.27,0,0.11,0.11,0.12,0.23,3.01,1.78,8.22,0.14,0,0.14,0.14,0.14,0.11,0.12,0.23,0.11,0.23,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,31,31,"2,548",28.3,0,0,0,0,0,0,0.35,0.04,0.01,0.01,0.02,0.03,0.64,2.61,0.74,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,32,"2,880",32,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.03,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,10,3,303,3.4,0,0,0,0,0,0,0,0,0.21,0.21,0.06,0.26,0.29,1.18,6.18,0,0,0,0,0,0.22,0.06,0.27,0.22,0.27,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,19,13,"1,181",13.1,0,0,0,0,0,0,0.08,0,0.02,0.02,0.01,0.02,1.15,5.04,0.31,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,3,2,172,1.9,0,0,0,0,0,0,0.53,0,0,0,0,0,0,6.84,0.53,0,0,0,0,0,0,0,0,0,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,20,6,700,7.8,0.38,0.13,0.51,0.38,0,0,0.26,0,0.56,0.56,0.03,0.6,0.77,0.77,5.51,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.6,0.57,0.6,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,22,21,"1,859",20.7,0.05,0,0.05,0.05,0,0,0.19,0.1,0.01,0.01,0,0.01,0.14,2.27,0.14,0.05,0,0.05,0.05,0.05,0.01,0,0.01,0.01,0.01,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,10,1,179,2,0,0,0,0,0,0,0.5,0,0,0,0.35,0.35,5,1.5,10.5,0,0,0,0,0,0.01,0.33,0.34,0.01,0.34,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,27,15,"1,394",15.5,0.26,0.26,0.52,0.26,0,0,0.19,0,0.23,0.23,0.18,0.42,1.55,1.94,8,0.26,0.26,0.52,0.26,0.52,0.24,0.18,0.42,0.24,0.42,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,31,25,"2,166",24.1,0.46,0.08,0.54,0.41,0.04,0.04,0.21,0,0.39,0.36,0.05,0.41,0.54,1.16,3.65,0.46,0.08,0.54,0.42,0.5,0.39,0.05,0.44,0.36,0.41,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,25,9,966,10.7,0.19,0.09,0.28,0.19,0,0,0,0,0.1,0.1,0.18,0.28,7.01,3.55,9.44,0.19,0.09,0.28,0.19,0.28,0.1,0.17,0.28,0.1,0.28,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,22,16,"1,457",16.2,0,0,0,0,0,0,0.12,0.06,0.02,0.02,0.01,0.04,1.05,3.15,0.25,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,35,18,"1,607",17.9,0.06,0.06,0.11,0.06,0,0,0.22,0,0.12,0.12,0.15,0.27,2.63,2.51,6.37,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,22,3,363,4,0.25,0,0.25,0.25,0,0,0.25,0,0.63,0.63,0.13,0.75,3,2,8,0.25,0,0.25,0.25,0.25,0.61,0.12,0.73,0.61,0.73,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,16,9,833,9.3,0,0.11,0.11,0,0,0,0.43,0,0.04,0.04,0.06,0.12,1.08,4.19,3.12,0,0.11,0.11,0,0.11,0.05,0.07,0.12,0.05,0.12,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,27,25,"1,938",21.5,0.05,0,0.05,0.05,0,0,0.51,0.09,0.03,0.03,0.02,0.05,0.84,3.53,0.37,0.05,0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,4,0,37,0.4,2.5,0,2.5,2.5,0,0,0,0,1,1,0,1,0,0,0,2.43,0,2.43,2.43,2.43,0.88,0,0.88,0.88,0.88,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,19,12,"1,045",11.6,0,0.17,0.17,0,0,0,0.26,0,0.09,0.09,0.28,0.36,1.98,5.52,3.53,0,0.17,0.17,0,0.17,0.09,0.27,0.36,0.09,0.36,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,32,23,"1,984",22,0.09,0.09,0.18,0.09,0,0.05,0.09,0,0.36,0.33,0.09,0.42,5.32,3.09,9.77,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,6,3,233,2.6,0,0,0,0,0,0,0.38,0,0.38,0.38,0.08,0.42,2.69,2.31,12.3,0,0,0,0,0,0.38,0.06,0.44,0.38,0.44,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,2,180,2,0,0.5,0.5,0,0,0,0,0,0.35,0.35,0.25,0.6,4.5,5,9,0,0.5,0.5,0,0.5,0.34,0.26,0.61,0.34,0.61,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,28,27,"2,227",24.7,0,0.04,0.04,0,0,0,0.28,0,0.02,0.02,0.05,0.07,2.11,4.53,1.78,0,0.04,0.04,0,0.04,0.01,0.05,0.07,0.01,0.07,Matches
192,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,9,8,747,8.3,0,0,0,0,0,0,0.24,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
194,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,2,1,98,1.1,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,19,18,"1,497",16.6,0.36,0,0.36,0.36,0,0,0.06,0,0.22,0.22,0.04,0.25,0.42,1.02,3.01,0.36,0,0.36,0.36,0.36,0.21,0.04,0.25,0.21,0.25,Matches
196,Valery Fernández,es ESP,"MF,FW",Mallorca,24,1999,18,1,309,3.4,0.59,0,0.59,0.59,0,0,0.29,0,0.24,0.24,0,0.26,0.59,1.47,4.12,0.58,0,0.58,0.58,0.58,0.24,0.01,0.25,0.24,0.25,Matches
197,André Ferreira,pt POR,GK,Valladolid,28,1996,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Mateo Flores,es ESP,MF,Betis,20,2004,6,1,153,1.7,0,0,0,0,0,0,0.59,0,0,0,0,0,0,5.29,1.18,0,0,0,0,0,0,0,0,0,0,Matches
199,Pablo Fornals,es ESP,"MF,FW",Betis,28,1996,26,22,"1,827",20.3,0.1,0,0.1,0.1,0,0,0.1,0,0.09,0.09,0.16,0.25,1.58,7.19,4.19,0.1,0,0.1,0.1,0.1,0.09,0.16,0.25,0.09,0.25,Matches
200,Héctor Fort,es ESP,DF,Barcelona,17,2006,17,5,585,6.5,0,0,0,0,0,0,0.31,0,0.03,0.03,0.14,0.17,2.15,4,5.08,0,0,0,0,0,0.04,0.13,0.17,0.04,0.17,Matches
201,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,32,25,"2,299",25.5,0,0.04,0.04,0,0,0,0.24,0,0.02,0.02,0.05,0.07,1.88,3.8,2.59,0,0.04,0.04,0,0.04,0.02,0.05,0.07,0.02,0.07,Matches
